APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34370, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 44344, Destination IP: 120.221.185.240, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.185.240, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 44344, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36954, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 57138, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 646
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36954, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.79.181, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 57138, Query: N/A, Response: N/A, Answer: N/A, Length: 278
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36954, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 133
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36954, Query: N/A, Response: N/A, Answer: N/A, Length: 314
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36182, Destination IP: 120.221.252.82, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 228
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.252.82, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36182, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 36182, Destination IP: 120.221.252.82, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 133
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: TLS, Source IP: 120.221.252.82, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36182, Query: N/A, Response: N/A, Answer: N/A, Length: 282
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 53104, Destination IP: 120.222.219.197, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.222.219.197, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 53104, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 52866, Destination IP: 117.147.219.239, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 617
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 117.147.219.239, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 52866, Query: N/A, Response: N/A, Answer: N/A, Length: 286
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 38148, Destination IP: 120.220.179.67, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.220.179.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 38148, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 43430, Destination IP: 39.134.150.112, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 39.134.150.112, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 43430, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 58990, Destination IP: 112.57.71.161, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 557
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 41076, Destination IP: 120.220.65.116, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 41080, Destination IP: 120.220.65.116, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 58990, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.220.65.116, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41076, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 41084, Destination IP: 120.220.65.116, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.220.65.116, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41080, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.220.65.116, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41084, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 53592, Destination IP: 120.220.149.212, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 674
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 120.220.149.212, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 53592, Query: N/A, Response: N/A, Answer: N/A, Length: 294
APP Name: ¶¶Òô_29_10ÔÂ_15_33_49, Protocol: TLS, Source IP: 10.215.173.1, Source Port: 41092, Destination IP: 120.220.65.116, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 676
