APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 40894, Destination IP: 39.136.60.205, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 120
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 39.136.60.205, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 40894, Query: N/A, Response: N/A, Answer: N/A, Length: 644
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 676
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34116, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 120
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34118, Destination IP: 120.220.145.142, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 120
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 120.220.192.231, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34604, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34116, Query: N/A, Response: N/A, Answer: N/A, Length: 708
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 120.220.145.142, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 34118, Query: N/A, Response: N/A, Answer: N/A, Length: 708
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 41806, Destination IP: 112.57.71.161, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 60270, Destination IP: 8.134.241.67, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 41806, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 40894, Destination IP: 39.136.60.205, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 39.136.60.205, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 40894, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 8.134.241.67, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 60270, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1500
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 212
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1129
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1005
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1052
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1065
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1138
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1344
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 885
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 860
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1296
APP Name: ¶¶Òô_29_10ÔÂ_13_51_28, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 34604, Destination IP: 120.220.192.231, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 308
