APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59920, Query: N/A, Response: N/A, Answer: N/A, Length: 384
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 52777, Destination IP: 120.220.192.230, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1378
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 52777, Destination IP: 120.220.192.230, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 1020
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.220.192.230, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 52777, Query: N/A, Response: N/A, Answer: N/A, Length: 48
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 36934, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 120
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36934, Query: N/A, Response: N/A, Answer: N/A, Length: 614
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 42756, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 120
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42756, Query: N/A, Response: N/A, Answer: N/A, Length: 102
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 57062, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 42700, Destination IP: 120.222.203.153, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.220.79.181, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 57062, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.222.203.153, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42700, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 59920, Destination IP: 150.138.251.58, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 588
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 150.138.251.58, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 59920, Query: N/A, Response: N/A, Answer: N/A, Length: 381
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 52064, Destination IP: 120.222.203.160, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.222.203.160, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 52064, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 42052, Destination IP: 112.57.71.161, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 36934, Destination IP: 120.220.179.64, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 132
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 57062, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 71
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 10.215.173.1, Source Port: 57062, Destination IP: 120.220.79.181, Destination Port: 443, Query: N/A, Response: N/A, Answer: N/A, Length: 726
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 120.220.179.64, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 36934, Query: N/A, Response: N/A, Answer: N/A, Length: 161
APP Name: ¶¶Òô_29_10ÔÂ_13_59_14, Protocol: Raw, Source IP: 112.57.71.161, Source Port: 443, Destination IP: 10.215.173.1, Destination Port: 42052, Query: N/A, Response: N/A, Answer: N/A, Length: 71
