APP Name,Protocol,Source IP,Source Port,Destination IP,Destination Port
A8体育,DoH,47.107.144.143,443,10.215.173.1,44354
A8体育,DoH,47.107.144.143,443,10.215.173.1,44354
A8体育,DoH,10.215.173.1,44354,47.107.144.143,443
A8体育,DoH,47.107.144.143,443,10.215.173.1,44354
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,10.215.173.1,44296,47.107.144.143,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,10.215.173.1,44334,47.107.144.143,443
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,44354,47.107.144.143,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862
A8体育,HTTP,10.215.173.1,54862,59.110.4.153,80
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,55184,223.109.148.179,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,218.91.197.68,443,10.215.173.1,51772
A8体育,DoH,10.215.173.1,51772,218.91.197.68,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,10.215.173.1,37532,120.77.167.21,443
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
A8体育,DoH,120.77.167.21,443,10.215.173.1,37532
