APP Name,Protocol,Source IP,Source Port,Destination IP,Destination Port,Query,Response,TTL,Answer
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,HTTP,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54862,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54862,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,HTTP,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54866,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54866,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,43342,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,43342,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44354,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,35689,10.215.173.2,53,ccs.umeng.com.,N/A,N/A,N/A
A8体育,Unknown,10.215.173.2,53,10.215.173.1,35689,N/A,ccs.umeng.com.,93,b'ccs.umeng.com.gds.alibabadns.com.'
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44296,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44300,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44296,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44300,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44322,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44334,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44334,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44354,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44354,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,43342,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,43342,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44300,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44300,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44300,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44296,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44296,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44296,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44296,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44322,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44322,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44334,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44334,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44334,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44334,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,HTTP,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,59.110.4.153,80,10.215.173.1,54874,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,54874,59.110.4.153,80,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44354,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44354,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,57638,36.143.252.105,443,N/A,N/A,N/A,N/A
A8体育,Unknown,36.143.252.105,443,10.215.173.1,57638,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44304,47.107.144.143,443,N/A,N/A,N/A,N/A
A8体育,Unknown,47.107.144.143,443,10.215.173.1,44304,N/A,N/A,N/A,N/A
A8体育,Unknown,10.215.173.1,44300,47.107.144.143,443,N/A,N/A,N/A,N/A
